second,Volt,Volt
+5.57000E-03,+43.24623E-03,-192.10051E-03
+5.58000E-03,-4.99498E-03,-73.90955E-03
+5.59000E-03,+55.30653E-03,+241.26634E-03
+5.60000E-03,+43.24623E-03,+398.85429E-03
+5.61000E-03,-29.11558E-03,+457.94976E-03
+5.62000E-03,-9.01508E-03,+576.14072E-03
+5.63000E-03,-13.03518E-03,+753.42716E-03
+5.64000E-03,+27.16583E-03,+792.82415E-03
+5.65000E-03,+31.18593E-03,+950.41209E-03
+5.66000E-03,-93.43719E-03,+812.52264E-03
+5.67000E-03,-4.99498E-03,+930.71360E-03
+5.68000E-03,-45.19598E-03,+891.31661E-03
+5.69000E-03,-89.41709E-03,+694.33168E-03
+5.70000E-03,-25.09548E-03,+733.72867E-03
+5.71000E-03,-93.43719E-03,+477.64826E-03
+5.72000E-03,-13.03518E-03,+457.94976E-03
+5.73000E-03,-81.37689E-03,+241.26634E-03
+5.74000E-03,-73.33669E-03,+123.07538E-03
+5.75000E-03,+3.04522E-03,+4.88442E-03
+5.76000E-03,-4.99498E-03,-231.49750E-03
+5.77000E-03,-4.99498E-03,-389.08544E-03
+5.78000E-03,-93.43719E-03,-605.76887E-03
+5.79000E-03,-45.19598E-03,-743.65832E-03
+5.80000E-03,+59.32663E-03,-704.26133E-03
+5.81000E-03,+11.08542E-03,-802.75380E-03
+5.82000E-03,-17.05528E-03,-960.34174E-03
+5.83000E-03,+39.22613E-03,-881.54777E-03
+5.84000E-03,+11.08542E-03,-960.34174E-03
+5.85000E-03,-974.88E-06,-940.64325E-03
+5.86000E-03,+3.04522E-03,-842.15079E-03
+5.87000E-03,+87.46733E-03,-586.07037E-03
+5.88000E-03,+95.50753E-03,-487.57791E-03
+5.89000E-03,+107.56784E-03,-329.98996E-03
+5.90000E-03,+47.26633E-03,-231.49750E-03
+5.91000E-03,+31.18593E-03,-113.30654E-03
+5.92000E-03,+3.04522E-03,+103.37689E-03
+5.93000E-03,-17.05528E-03,+260.96483E-03
+5.94000E-03,-13.03518E-03,+438.25127E-03
+5.95000E-03,-29.11558E-03,+477.64826E-03
+5.96000E-03,-53.23618E-03,+615.53771E-03
+5.97000E-03,+3.04522E-03,+773.12566E-03
+5.98000E-03,+11.08542E-03,+891.31662E-03
+5.99000E-03,+7.06532E-03,+930.71360E-03
+6.00000E-03,-25.09548E-03,+851.91963E-03
+6.01000E-03,-9.01508E-03,+911.01511E-03
+6.02000E-03,-41.17588E-03,+812.52264E-03
+6.03000E-03,-117.55779E-03,+635.23620E-03
+6.04000E-03,-109.51759E-03,+477.64826E-03
+6.05000E-03,-101.47739E-03,+398.85429E-03
+6.06000E-03,+3.04522E-03,+339.75881E-03
+6.07000E-03,-57.25628E-03,+103.37689E-03
+6.08000E-03,-17.05528E-03,+4.88442E-03
+6.09000E-03,-33.13568E-03,-231.49750E-03
+6.10000E-03,-21.07538E-03,-408.78394E-03
+6.11000E-03,-33.13568E-03,-507.27640E-03
+6.12000E-03,-29.11558E-03,-684.56284E-03
+6.13000E-03,+15.10553E-03,-723.95983E-03
+6.14000E-03,-4.99498E-03,-802.75380E-03
+6.15000E-03,-21.07538E-03,-920.94476E-03
+6.16000E-03,+7.06532E-03,-901.24626E-03
+6.17000E-03,+51.28643E-03,-920.94476E-03
+6.18000E-03,+43.24623E-03,-783.05531E-03
+6.19000E-03,+47.26633E-03,-822.45229E-03
+6.20000E-03,-13.03518E-03,-783.05531E-03
+6.21000E-03,+63.34673E-03,-526.97489E-03
+6.22000E-03,+11.08542E-03,-526.97489E-03
+6.23000E-03,+107.56784E-03,-211.79900E-03
+6.24000E-03,+15.10553E-03,-192.10051E-03
+6.25000E-03,+11.08542E-03,+4.88442E-03
+6.26000E-03,+7.06532E-03,+201.86935E-03
+6.27000E-03,-974.88E-06,+379.15579E-03
+6.28000E-03,+55.30653E-03,+576.14072E-03
+6.29000E-03,+55.30653E-03,+674.63319E-03
+6.30000E-03,-13.03518E-03,+773.12566E-03
+6.31000E-03,+15.10552E-03,+812.52264E-03
+6.32000E-03,-53.23618E-03,+871.61812E-03
+6.33000E-03,+3.04522E-03,+950.41209E-03
+6.34000E-03,-53.23618E-03,+911.01511E-03
+6.35000E-03,-4.99498E-03,+871.61812E-03
+6.36000E-03,-21.07538E-03,+773.12566E-03
+6.37000E-03,-57.25628E-03,+635.23620E-03
+6.38000E-03,-25.09548E-03,+556.44223E-03
+6.39000E-03,-974.88E-06,+379.15579E-03
+6.40000E-03,-9.01508E-03,+221.56785E-03
+6.41000E-03,-89.41709E-03,-54.21106E-03
+6.42000E-03,-37.15578E-03,-172.40202E-03
+6.43000E-03,-85.39699E-03,-369.38695E-03
+6.44000E-03,-77.35679E-03,-526.97489E-03
+6.45000E-03,-81.37689E-03,-664.86435E-03
+6.46000E-03,-25.09548E-03,-723.95983E-03
+6.47000E-03,-21.07538E-03,-861.84928E-03
+6.48000E-03,+27.16583E-03,-901.24626E-03
+6.49000E-03,+7.06532E-03,-960.34174E-03
+6.50000E-03,-17.05528E-03,-999.73873E-03
+6.51000E-03,+35.20603E-03,-901.24626E-03
+6.52000E-03,+31.18593E-03,-802.75380E-03
+6.53000E-03,+27.16583E-03,-802.75380E-03
+6.54000E-03,+27.16583E-03,-586.07037E-03
+6.55000E-03,+95.50753E-03,-389.08544E-03
+6.56000E-03,+15.10553E-03,-329.98996E-03
+6.57000E-03,+31.18593E-03,-251.19599E-03
+6.58000E-03,+83.44723E-03,+83.67839E-03
+6.59000E-03,+87.46733E-03,+201.86935E-03
+6.60000E-03,+27.16583E-03,+379.15579E-03
+6.61000E-03,+19.12563E-03,+457.94977E-03
+6.62000E-03,-25.09548E-03,+536.74374E-03
+6.63000E-03,+7.06532E-03,+694.33168E-03
+6.64000E-03,-77.35679E-03,+773.12566E-03
+6.65000E-03,-45.19598E-03,+792.82415E-03
+6.66000E-03,-49.21608E-03,+911.01511E-03
+6.67000E-03,-45.19598E-03,+832.22114E-03
+6.68000E-03,-4.99498E-03,+871.61812E-03
+6.69000E-03,-17.05528E-03,+851.91963E-03
+6.70000E-03,-93.43719E-03,+654.93470E-03
+6.71000E-03,-77.35679E-03,+517.04524E-03
+6.72000E-03,-17.05528E-03,+398.85429E-03
+6.73000E-03,-93.43719E-03,+241.26634E-03
+6.74000E-03,-81.37689E-03,+24.58292E-03
+6.75000E-03,-101.47739E-03,-152.70352E-03
+6.76000E-03,-49.21608E-03,-290.59298E-03
+6.77000E-03,-17.05528E-03,-448.18092E-03
+6.78000E-03,-4.99498E-03,-605.76887E-03
+6.79000E-03,-53.23618E-03,-704.26133E-03
+6.80000E-03,+11.08542E-03,-723.95983E-03
+6.81000E-03,-25.09548E-03,-881.54777E-03
+6.82000E-03,-13.03518E-03,-980.04024E-03
+6.83000E-03,+27.16583E-03,-881.54777E-03
+6.84000E-03,-37.15578E-03,-980.04024E-03
+6.85000E-03,+39.22613E-03,-783.05531E-03
+6.86000E-03,+35.20603E-03,-723.95983E-03
+6.87000E-03,+19.12563E-03,-723.95983E-03
+6.88000E-03,-9.01508E-03,-645.16585E-03
+6.89000E-03,+35.20603E-03,-448.18092E-03
+6.90000E-03,-974.88E-06,-329.98996E-03
+6.91000E-03,+23.14573E-03,-34.51256E-03
+6.92000E-03,+67.36683E-03,+142.77387E-03
+6.93000E-03,-4.99498E-03,+260.96483E-03
+6.94000E-03,+31.18593E-03,+497.34675E-03
+6.95000E-03,+3.04522E-03,+536.74374E-03
+6.96000E-03,-13.03518E-03,+694.33168E-03
+6.97000E-03,-41.17588E-03,+714.03018E-03
+6.98000E-03,-25.09548E-03,+792.82415E-03
+6.99000E-03,-21.07538E-03,+832.22114E-03
+7.00000E-03,-89.41709E-03,+812.52264E-03
+7.01000E-03,+7.06532E-03,+950.41209E-03
+7.02000E-03,-9.01508E-03,+851.91963E-03
+7.03000E-03,-45.19598E-03,+654.93470E-03
+7.04000E-03,-113.53769E-03,+536.74374E-03
+7.05000E-03,-13.03518E-03,+497.34675E-03
+7.06000E-03,-101.47739E-03,+201.86935E-03
+7.07000E-03,-57.25628E-03,+162.47237E-03
+7.08000E-03,-25.09548E-03,-54.21106E-03
+7.09000E-03,-9.01508E-03,-133.00503E-03
+7.10000E-03,-65.29648E-03,-389.08544E-03
+7.11000E-03,-13.03518E-03,-526.97489E-03
+7.12000E-03,+15.10552E-03,-625.46736E-03
+7.13000E-03,+7.06532E-03,-704.26133E-03
+7.14000E-03,-29.11558E-03,-901.24626E-03
+7.15000E-03,+43.24623E-03,-881.54777E-03
+7.16000E-03,+47.26633E-03,-822.45229E-03
+7.17000E-03,+3.04522E-03,-960.34174E-03
+7.18000E-03,-25.09548E-03,-940.64325E-03
+7.19000E-03,+59.32663E-03,-743.65832E-03
+7.20000E-03,+59.32663E-03,-645.16585E-03
+7.21000E-03,-4.99498E-03,-645.16585E-03
+7.22000E-03,+43.24623E-03,-369.38695E-03
+7.23000E-03,+23.14573E-03,-349.68846E-03
+7.24000E-03,+55.30653E-03,-34.51256E-03
+7.25000E-03,+39.22613E-03,+103.37689E-03
+7.26000E-03,+59.32663E-03,+300.36182E-03
+7.27000E-03,+19.12563E-03,+339.75881E-03
+7.28000E-03,+3.04522E-03,+477.64826E-03
+7.29000E-03,-65.29648E-03,+595.83922E-03
+7.30000E-03,-37.15578E-03,+714.03018E-03
+7.31000E-03,-61.27638E-03,+753.42716E-03
+7.32000E-03,-65.29648E-03,+792.82415E-03
+7.33000E-03,-37.15578E-03,+930.71360E-03
+7.34000E-03,-61.27638E-03,+812.52264E-03
+7.35000E-03,-25.09548E-03,+792.82415E-03
+7.36000E-03,+7.06532E-03,+812.52264E-03
+7.37000E-03,-37.15578E-03,+674.63319E-03
+7.38000E-03,+3.04522E-03,+556.44223E-03
+7.39000E-03,-69.31658E-03,+280.66333E-03
+7.40000E-03,-53.23618E-03,+123.07538E-03
+7.41000E-03,-101.47739E-03,+4.88442E-03
+7.42000E-03,-13.03518E-03,-133.00503E-03
+7.43000E-03,-9.01508E-03,-290.59298E-03
+7.44000E-03,-49.21608E-03,-448.18092E-03
+7.45000E-03,-77.35679E-03,-645.16585E-03
+7.46000E-03,+43.24623E-03,-645.16585E-03
+7.47000E-03,-29.11558E-03,-861.84928E-03
+7.48000E-03,+51.28643E-03,-822.45229E-03
+7.49000E-03,+15.10552E-03,-861.84928E-03
+7.50000E-03,+23.14573E-03,-881.54777E-03
+7.51000E-03,-9.01508E-03,-881.54777E-03
+7.52000E-03,-13.03518E-03,-901.24626E-03
+7.53000E-03,+11.08542E-03,-783.05531E-03
+7.54000E-03,+59.32663E-03,-566.37188E-03
+7.55000E-03,-13.03518E-03,-546.67339E-03
+7.56000E-03,+43.24623E-03,-290.59298E-03
+7.57000E-03,+23.14573E-03,-172.40202E-03
+7.58000E-03,+55.30653E-03,+44.28141E-03
+7.59000E-03,+23.14573E-03,+142.77387E-03
+7.60000E-03,-4.99498E-03,+241.26634E-03
+7.61000E-03,-25.09548E-03,+477.64826E-03
+7.62000E-03,-21.07538E-03,+595.83922E-03
+7.63000E-03,+11.08542E-03,+773.12566E-03
+7.64000E-03,+55.30653E-03,+911.01511E-03
+7.65000E-03,-33.13568E-03,+871.61812E-03
+7.66000E-03,-53.23618E-03,+812.52264E-03
+7.67000E-03,-65.29648E-03,+891.31662E-03
+7.68000E-03,-85.39699E-03,+792.82415E-03
+7.69000E-03,-29.11558E-03,+792.82415E-03
+7.70000E-03,-69.31658E-03,+615.53771E-03
+7.71000E-03,-37.15578E-03,+556.44223E-03
+7.72000E-03,-85.39699E-03,+398.85429E-03
+7.73000E-03,-41.17588E-03,+221.56785E-03
+7.74000E-03,-33.13568E-03,+123.07538E-03
+7.75000E-03,-53.23618E-03,-54.21106E-03
+7.76000E-03,-4.99498E-03,-231.49750E-03
+7.77000E-03,-49.21608E-03,-428.48243E-03
+7.78000E-03,-49.21608E-03,-605.76887E-03
+7.79000E-03,-4.99498E-03,-625.46736E-03
+7.80000E-03,+27.16583E-03,-802.75380E-03
+7.81000E-03,-37.15578E-03,-940.64325E-03
+7.82000E-03,-17.05528E-03,-940.64325E-03
+7.83000E-03,+59.32663E-03,-881.54777E-03
+7.84000E-03,+27.16583E-03,-920.94476E-03
+7.85000E-03,-13.03518E-03,-901.24626E-03
+7.86000E-03,+11.08542E-03,-842.15078E-03
+7.87000E-03,+75.40703E-03,-625.46736E-03
+7.88000E-03,+19.12563E-03,-566.37188E-03
+7.89000E-03,+3.04522E-03,-428.48243E-03
+7.90000E-03,+11.08542E-03,-310.29147E-03
+7.91000E-03,+59.32663E-03,+24.58291E-03
+7.92000E-03,-13.03518E-03,+63.97990E-03
+7.93000E-03,-974.88E-06,+260.96483E-03
+7.94000E-03,+51.28643E-03,+457.94977E-03
+7.95000E-03,+35.20603E-03,+654.93470E-03
+7.96000E-03,+15.10553E-03,+753.42716E-03
+7.97000E-03,-17.05528E-03,+792.82415E-03
+7.98000E-03,-61.27638E-03,+812.52264E-03
+7.99000E-03,-33.13568E-03,+911.01511E-03
+8.00000E-03,+15.10553E-03,+970.11059E-03
+8.01000E-03,-101.47739E-03,+773.12566E-03
+8.02000E-03,-45.19598E-03,+871.61812E-03
+8.03000E-03,-93.43719E-03,+635.23620E-03
+8.04000E-03,-97.45729E-03,+517.04524E-03
+8.05000E-03,-21.07538E-03,+438.25127E-03
+8.06000E-03,-49.21608E-03,+339.75881E-03
+8.07000E-03,-85.39699E-03,+63.97990E-03
+8.08000E-03,-89.41709E-03,-73.90955E-03
+8.09000E-03,-4.99498E-03,-172.40202E-03
+8.10000E-03,+23.14573E-03,-329.98996E-03
+8.11000E-03,+11.08542E-03,-487.57791E-03
+8.12000E-03,+7.06532E-03,-586.07037E-03
+8.13000E-03,-21.07538E-03,-723.95983E-03
+8.14000E-03,-4.99498E-03,-822.45229E-03
+8.15000E-03,-13.03518E-03,-920.94476E-03
+8.16000E-03,+47.26633E-03,-920.94476E-03
+8.17000E-03,-9.01508E-03,-960.34174E-03
+8.18000E-03,+31.18593E-03,-842.15079E-03
+8.19000E-03,+75.40703E-03,-704.26133E-03
+8.20000E-03,+55.30653E-03,-625.46736E-03
+8.21000E-03,+95.50753E-03,-487.57791E-03
+8.22000E-03,+75.40703E-03,-369.38695E-03
+8.23000E-03,+83.44723E-03,-270.89448E-03
+8.24000E-03,+79.42713E-03,-73.90955E-03
+8.25000E-03,-13.03518E-03,+4.88442E-03
+8.26000E-03,+47.26633E-03,+201.86935E-03
+8.27000E-03,-4.99498E-03,+339.75881E-03
+8.28000E-03,+67.36683E-03,+556.44223E-03
+8.29000E-03,-4.99498E-03,+674.63319E-03
+8.30000E-03,+11.08542E-03,+753.42716E-03
+8.31000E-03,-29.11558E-03,+851.91963E-03
+8.32000E-03,-13.03518E-03,+930.71360E-03
+8.33000E-03,-53.23618E-03,+891.31662E-03
+8.34000E-03,-85.39699E-03,+773.12566E-03
+8.35000E-03,-974.88E-06,+891.31661E-03
+8.36000E-03,-21.07538E-03,+812.52264E-03
+8.37000E-03,-45.19598E-03,+654.93470E-03
+8.38000E-03,-53.23618E-03,+536.74374E-03
+8.39000E-03,-17.05528E-03,+418.55278E-03
+8.40000E-03,-45.19598E-03,+241.26634E-03
+8.41000E-03,-49.21608E-03,-54.21106E-03
+8.42000E-03,-45.19598E-03,-113.30654E-03
+8.43000E-03,-9.01508E-03,-231.49750E-03
+8.44000E-03,+11.08542E-03,-428.48243E-03
+8.45000E-03,-69.31658E-03,-664.86435E-03
+8.46000E-03,-49.21608E-03,-723.95983E-03
+8.47000E-03,+27.16583E-03,-783.05531E-03
+8.48000E-03,-4.99498E-03,-842.15079E-03
+8.49000E-03,+43.24623E-03,-842.15079E-03
+8.50000E-03,+75.40703E-03,-822.45229E-03
+8.51000E-03,+83.44723E-03,-822.45229E-03
+8.52000E-03,+71.38693E-03,-763.35681E-03
+8.53000E-03,+23.14573E-03,-723.95983E-03
+8.54000E-03,+47.26633E-03,-566.37188E-03
+8.55000E-03,+95.50753E-03,-448.18092E-03
+8.56000E-03,+7.06532E-03,-389.08544E-03
+8.57000E-03,+59.32663E-03,-93.60804E-03
+8.58000E-03,+27.16583E-03,+4.88442E-03
+8.59000E-03,+3.04522E-03,+142.77387E-03
+8.60000E-03,+63.34673E-03,+398.85429E-03
+8.61000E-03,-17.05528E-03,+418.55278E-03
+8.62000E-03,-25.09548E-03,+536.74374E-03
+8.63000E-03,+15.10552E-03,+773.12566E-03
+8.64000E-03,-49.21608E-03,+714.03018E-03
+8.65000E-03,-17.05528E-03,+930.71360E-03
+8.66000E-03,-41.17588E-03,+851.91963E-03
+8.67000E-03,-21.07538E-03,+851.91963E-03
+8.68000E-03,-61.27638E-03,+871.61812E-03
+8.69000E-03,-13.03518E-03,+851.91963E-03
+8.70000E-03,-45.19598E-03,+674.63319E-03
+8.71000E-03,-73.33669E-03,+536.74374E-03
+8.72000E-03,-49.21608E-03,+477.64826E-03
+8.73000E-03,-85.39699E-03,+142.77387E-03
+8.74000E-03,-25.09548E-03,+123.07538E-03
+8.75000E-03,-73.33669E-03,-133.00503E-03
+8.76000E-03,-13.03518E-03,-251.19599E-03
+8.77000E-03,-77.35679E-03,-507.27640E-03
+8.78000E-03,-73.33668E-03,-645.16585E-03
+8.79000E-03,+11.08542E-03,-645.16585E-03
+8.80000E-03,+39.22613E-03,-704.26133E-03
+8.81000E-03,+63.34673E-03,-802.75380E-03
+8.82000E-03,+11.08542E-03,-920.94476E-03
+8.83000E-03,+63.34673E-03,-861.84928E-03
+8.84000E-03,+55.30653E-03,-901.24626E-03
+8.85000E-03,-13.03518E-03,-920.94476E-03
+8.86000E-03,+75.40703E-03,-783.05531E-03
+8.87000E-03,+87.46733E-03,-605.76887E-03
+8.88000E-03,+43.24623E-03,-546.67339E-03
+8.89000E-03,+99.52763E-03,-290.59298E-03
+8.90000E-03,+71.38693E-03,-231.49750E-03
+8.91000E-03,+111.58794E-03,+44.28141E-03
+8.92000E-03,+47.26633E-03,+162.47237E-03
+8.93000E-03,+31.18593E-03,+320.06031E-03
+8.94000E-03,+51.28643E-03,+497.34675E-03
+8.95000E-03,+35.20603E-03,+635.23620E-03
+8.96000E-03,-13.03518E-03,+654.93470E-03
+8.97000E-03,-4.99498E-03,+812.52264E-03
+8.98000E-03,-37.15578E-03,+812.52264E-03
+8.99000E-03,+3.04522E-03,+970.11059E-03
+9.00000E-03,-57.25628E-03,+871.61812E-03
+9.01000E-03,-93.43719E-03,+773.12566E-03
+9.02000E-03,-53.23618E-03,+753.42716E-03
+9.03000E-03,-85.39699E-03,+654.93470E-03
+9.04000E-03,-93.43719E-03,+556.44223E-03
+9.05000E-03,-37.15578E-03,+477.64826E-03
+9.06000E-03,-37.15578E-03,+359.45730E-03
+9.07000E-03,-85.39699E-03,+83.67839E-03
+9.08000E-03,-17.05528E-03,+44.28141E-03
+9.09000E-03,-49.21608E-03,-251.19599E-03
+9.10000E-03,+27.16583E-03,-290.59298E-03
+9.11000E-03,-53.23618E-03,-566.37188E-03
+9.12000E-03,-41.17588E-03,-704.26133E-03
+9.13000E-03,+47.26633E-03,-664.86435E-03
+9.14000E-03,-21.07538E-03,-901.24626E-03
+9.15000E-03,+43.24623E-03,-802.75380E-03
+9.16000E-03,+35.20603E-03,-861.84928E-03
+9.17000E-03,+7.06532E-03,-920.94476E-03
+9.18000E-03,+11.08542E-03,-861.84928E-03
+9.19000E-03,+27.16583E-03,-861.84928E-03
+9.20000E-03,+115.60804E-03,-625.46736E-03
+9.21000E-03,+19.12563E-03,-605.76887E-03
+9.22000E-03,+91.48743E-03,-428.48243E-03
+9.23000E-03,+23.14573E-03,-369.38695E-03
+9.24000E-03,+15.10553E-03,-172.40202E-03
+9.25000E-03,+35.20603E-03,+83.67839E-03
+9.26000E-03,+75.40703E-03,+320.06031E-03
+9.27000E-03,+27.16583E-03,+339.75881E-03
+9.28000E-03,+35.20603E-03,+595.83922E-03
+9.29000E-03,+31.18593E-03,+714.03018E-03
+9.30000E-03,-45.19598E-03,+753.42716E-03
+9.31000E-03,-77.35679E-03,+753.42716E-03
+9.32000E-03,-4.99498E-03,+950.41209E-03
+9.33000E-03,-974.88E-06,+891.31662E-03
+9.34000E-03,+7.06532E-03,+950.41209E-03
+9.35000E-03,-93.43719E-03,+792.82415E-03
+9.36000E-03,-29.11558E-03,+733.72867E-03
+9.37000E-03,-109.51759E-03,+576.14072E-03
+9.38000E-03,-37.15578E-03,+497.34675E-03
+9.39000E-03,-9.01508E-03,+418.55278E-03
+9.40000E-03,-89.41709E-03,+123.07538E-03
+9.41000E-03,-49.21608E-03,+63.97990E-03
+9.42000E-03,-73.33669E-03,-152.70352E-03
+9.43000E-03,-69.31658E-03,-408.78393E-03
+9.44000E-03,-61.27638E-03,-507.27640E-03
+9.45000E-03,-17.05528E-03,-566.37188E-03
+9.46000E-03,-65.29648E-03,-783.05531E-03
+9.47000E-03,-4.99498E-03,-783.05531E-03
+9.48000E-03,-974.88E-06,-901.24626E-03
+9.49000E-03,+35.20603E-03,-861.84928E-03
+9.50000E-03,+39.22613E-03,-842.15079E-03
+9.51000E-03,+87.46733E-03,-842.15079E-03
+9.52000E-03,-974.88E-06,-842.15079E-03
+9.53000E-03,-4.99498E-03,-822.45229E-03
+9.54000E-03,+67.36683E-03,-625.46736E-03
+9.55000E-03,+103.54774E-03,-467.87941E-03
+9.56000E-03,+35.20603E-03,-389.08544E-03
+9.57000E-03,+79.42713E-03,-152.70352E-03
+9.58000E-03,+35.20603E-03,-54.21106E-03
+9.59000E-03,-4.99498E-03,+83.67839E-03
+9.60000E-03,+23.14573E-03,+300.36182E-03
+9.61000E-03,+79.42713E-03,+556.44223E-03
+9.62000E-03,-13.03518E-03,+595.83922E-03
+9.63000E-03,-21.07538E-03,+714.03018E-03
+9.64000E-03,+7.06532E-03,+891.31661E-03
+9.65000E-03,-33.13568E-03,+911.01511E-03
+9.66000E-03,-4.99498E-03,+950.41209E-03
+9.67000E-03,+15.10552E-03,+970.11059E-03
+9.68000E-03,-89.41709E-03,+753.42716E-03
+9.69000E-03,-41.17588E-03,+812.52264E-03
+9.70000E-03,-109.51759E-03,+576.14072E-03
+9.71000E-03,-105.49749E-03,+418.55278E-03
+9.72000E-03,-117.55779E-03,+339.75881E-03
+9.73000E-03,-53.23618E-03,+182.17086E-03
+9.74000E-03,-97.45729E-03,+4.88442E-03
+9.75000E-03,-974.88E-06,-73.90955E-03
+9.76000E-03,-73.33669E-03,-329.98996E-03
+9.77000E-03,-65.29648E-03,-467.87941E-03
+9.78000E-03,+11.08542E-03,-507.27640E-03
+9.79000E-03,-4.99498E-03,-684.56284E-03
+9.80000E-03,-57.25628E-03,-861.84928E-03
+9.81000E-03,+27.16583E-03,-802.75380E-03
+9.82000E-03,-4.99498E-03,-940.64325E-03
+9.83000E-03,+39.22613E-03,-920.94476E-03
+9.84000E-03,-33.13568E-03,-980.04024E-03
+9.85000E-03,+91.48743E-03,-783.05531E-03
+9.86000E-03,+79.42713E-03,-763.35681E-03
+9.87000E-03,+23.14573E-03,-704.26133E-03
+9.88000E-03,-13.03518E-03,-566.37188E-03
+9.89000E-03,+59.32663E-03,-428.48243E-03
+9.90000E-03,+23.14573E-03,-270.89448E-03
+9.91000E-03,+19.12563E-03,-113.30654E-03
+9.92000E-03,-4.99498E-03,+24.58292E-03
+9.93000E-03,+39.22613E-03,+359.45730E-03
+9.94000E-03,-29.11558E-03,+339.75881E-03
+9.95000E-03,-9.01508E-03,+595.83922E-03
+9.96000E-03,+39.22613E-03,+674.63319E-03
+9.97000E-03,+23.14573E-03,+871.61812E-03
+9.98000E-03,-25.09548E-03,+812.52264E-03
+9.99000E-03,+7.06532E-03,+950.41209E-03
